username,generation time,Feedback,Room Type,Style,additional arguments,Image Input URL,Image Output URL
akashdey,2024-04-19 18:27:13,good,living room,cyberpunk,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713531436/w4wdzvwluvxr5ja8jaai.webp,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713531438/dtxoge5xok9hltumkyi9.png
akashdey,2024-04-19 19:23:05,Good,Living Room,Hollywood Regency,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713534788/o7u4qqdgjwwxov9seqwn.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713534789/dwbbqzhewjkrh4siwqeb.png
akashdey,2024-04-19 19:37:19,Room is totally different,Living Room,Bohemian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713535641/kwbkljwyic9s0uv26ha7.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713535643/agbtfbexvxzpd15umk3i.png
akashdey,2024-04-19 19:37:17,Room is totally different,Living Room,Bohemian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713535640/e1ypp1bvsvycx1fqsfwd.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713535643/v5h8kqjsgyy37jmjutgx.png
akashdey,2024-04-19 19:37:18,Room is totally different,Living Room,Bohemian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713535642/ycc8ecxdu33mkt9ud1ie.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713535643/lxep4fkfha01sj7qzyoj.png
akashdey,2024-04-19 19:46:31,Walls also are yellow,Kitchen,Bohemian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713536193/zjnie5rzccyhob5ysubv.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713536194/p6jfwsb7tavcho8pnibb.png
akashdey,2024-04-19 20:30:55,Why is the floor of a kitchen carpeted?,Kitchen,Bohemian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713538858/jccol70w5ly27zy1jjzq.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713538859/yhvnsptlhluk6v6dsuel.png
akashdey,2024-04-19 20:43:02,Floor is broken,Kitchen,Japanese,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713539584/knvggvuvbtdj76ozs3ts.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713539586/sbahbjkksfgpoiuz4wiz.png
akashdey,2024-04-19 20:56:19,Good,Bedroom,Eclectic Design Style,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713540382/agyjozzoggszuabwjz5e.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713540383/ec6n1kdlxesx3lxj8nwm.png
akashdey,2024-04-19 21:48:00,Good generation,Living Room,Bohemian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713543484/wizpflbufhqnxujk2mcz.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713543485/i3wjyiqixd54b6g0vx53.png
Smrithirai30,2024-04-19 22:32:39,Balcony not recognised,Bedroom,Coastal,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713546163/egvkzoftptccuiudafdr.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713546164/risl3uc9se9reenejjf0.png
Smrithirai30,2024-04-19 22:32:43,Balcony not recognised,Bedroom,Coastal,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713546166/qhaioxb89kvrqnu6fxw0.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713546167/cc3pvamtgslub9krqlzy.png
Akash,2024-04-19 23:32:17,No sand carpet on floor ,Living Room,Mediterranean,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713549740/muzpwxrk3yi8vto83ary.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713549741/aqpy8kuglqjoomdgcdl3.png
Balaji,2024-04-20 10:03:03,The final image removes windows consistently which is odd,Bedroom,Scandinavian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713587587/wh3wckqofl9nmqqtjtdm.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713587588/s40zkehwhotl4cnlom2k.png
Balaji,2024-04-20 10:32:52,It did not put windows behind bed even after adding the prompt,Bedroom,Scandinavian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713589375/cuoo9ttiinjfripikta4.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713589376/juya09c2aovuyswj9acg.png
akashdey,2024-04-20 16:46:06,"this is das ka room, its beautiful but lightsaber was requested its not there, does not recognise but good",Bedroom,modern,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713611768/n3jqxxnrmxhikztimbzy.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713611770/tmz3800awjcfqmqp3p0f.png
rahul4right,2024-04-20 22:21:09,off with perspective bro,Living Room,Scandinavian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713631870/ifiuz045qqktey4igfdv.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713631872/fnkxtpqqytjeizyvpaev.png
rahul4right,2024-04-20 22:21:10,off with perspective bro,Living Room,Scandinavian,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713631872/hq3s322zbimwtunllrhq.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713631873/rie6fuh2e3ns1zrd7bjq.png
rahul4right,2024-04-20 22:23:49,off with assets,Living Room,Cyberpunk,,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713632030/onkts5umelsucdgnf86i.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713632031/zrxuei9hievis0vokr9k.png
